sprint_id	title	status	updated_at
001	Project Foundation	completed	2026-09-01T20:02:12Z
002	Source Policy and QA	completed	2026-09-01T20:47:07Z
003	Data Ingestion Platform	completed	2026-09-01T21:44:58Z
004	Professions and Attributes Catalog	completed	2026-09-01T22:43:52Z
005	Skills Catalog	completed	2026-09-02T02:04:41Z
006	Template Compatibility	completed	2026-09-02T03:01:11Z
007	Game Rule Engine	completed	2026-09-02T04:11:58Z
008	Visual Prior Art	completed	2026-09-02T04:52:42Z
009	Core Build Editor	completed	2026-09-02T19:53:30Z
010	Local Library and Sharing	completed	2026-09-02T20:38:08Z
011	Runes Catalog	completed	2026-09-02T21:53:08Z
